planet_name,star_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,pl_insol,habitability_score,habitable
CoRoT-32 b,CoRoT-32,6.38913,47.6745,6.71837,938.0,5970.0,132.26,0.0,0
EPIC 201595106 b,EPIC 201595106,1.565,7.67,0.87724,2038.0,5679.0,2852.0,0.0,0
EPIC 211945201 b,EPIC 211945201,5.5,11.0,19.491,809.0,6019.0,101.0,0.0,0
EPIC 220674823 b,EPIC 220674823,1.87,8.03,0.571282,2115.0,5496.0,4740.0,0.0,0
EPIC 220674823 b,EPIC 220674823,1.82,9.0,0.571336,2063.0,5496.0,4293.0,0.0,0
EPIC 220674823 b,EPIC 220674823,1.676,7.8,0.5713127,2299.0,5578.0,4656.0,0.0,0
EPIC 220674823 b,EPIC 220674823,1.725,8.21,0.571292,2300.0,5532.0,4670.0,0.0,0
EPIC 220674823 c,EPIC 220674823,3.01,5.0,13.33918,740.0,5496.0,71.0,0.0,0
EPIC 220674823 c,EPIC 220674823,2.84,7.32,13.33989,804.0,5578.0,70.0,0.0,0
EPIC 220674823 c,EPIC 220674823,2.836,8.9,13.3397,805.0,5532.0,70.0,0.0,0
EPIC 220674823 c,EPIC 220674823,2.77,5.7,13.3387,722.0,5496.0,64.0,0.0,0
EPIC 229004835 b,EPIC 229004835,2.18,19.3,16.1388,734.0,5839.0,68.9,0.0,0
EPIC 229004835 b,EPIC 229004835,2.332,10.4,16.141132,804.0,5868.0,69.7,0.0,0
EPIC 246851721 b,EPIC 246851721,11.780659,953.49,6.180235,1401.0,6202.0,642.0,0.0,0
EPIC 248847494 b,EPIC 248847494,12.44199,4131.79,3650.0,183.0,4898.0,0.19,0.2783511729211793,0
EPIC 249893012 b,EPIC 249893012,1.95,8.75,3.5951,1616.0,5430.0,1037.0,0.0,0
EPIC 249893012 c,EPIC 249893012,3.67,14.67,15.624,990.0,5430.0,160.0,0.0,0
EPIC 249893012 d,EPIC 249893012,3.94,10.18,35.747,752.0,5430.0,53.0,0.0,0
G 9-40 b,G 9-40,1.9,4.0,5.7459982,440.6,3395.0,6.27,0.4209502923976608,0
G 9-40 b,G 9-40,2.025,11.7,5.746007,456.0,3348.0,7.2,0.34045584045584043,0
GJ 1132 b,GJ 1132,1.19151465,1.83704819,1.62892911,583.8,3229.0,19.3,0.4042524972966197,0
GJ 1214 b,GJ 1214,2.733,8.41,1.580404531,567.0,3101.0,17.2,0.1579413033462072,0
GJ 1214 b,GJ 1214,2.742,8.17,1.58040433,596.0,3250.0,21.0,0.11835111883656353,0
GJ 3090 b,GJ 3090,2.18,4.52,2.85310198,723.0,3707.0,45.4,0.0,0
GJ 3473 b,GJ 3473,1.264,1.86,1.1980035,773.0,3347.0,59.4,0.1250209836214328,0
GJ 357 b,GJ 357,1.217,1.84,3.93072,525.0,3505.0,12.6,0.48038461767472873,0
GJ 367 b,GJ 367,0.699,0.633,0.3219225,1365.0,3522.0,579.0,0.0,0
